,elk_reproduce,wolf_reproduce,pack_size_threshold,Run,Elk,Wolves,Packs,Killed Elks/Wolf,Elks age
32174,0.05688964843750001,0.08431152343750001,2,28,3,0.3111328125,8,13,0.0
32175,0.05688964843750001,0.08431152343750001,2,7,5,0.3111328125,8,13,2.251282051282049
32176,0.05688964843750001,0.08431152343750001,2,7,3,0.3775390625,8,13,2.251282051282049
32177,0.05688964843750001,0.08431152343750001,2,7,3,0.3111328125,6,13,2.5217391304347863
32178,0.05688964843750001,0.08431152343750001,2,7,3,0.3111328125,8,13,0.0
32179,0.0632177734375,0.0904638671875,2,28,5,0.3775390625,6,13,1.6007326007326
32180,0.0793896484375,0.0168115234375,3,26,2,0.4111328125,4,21,3.6082289803220178
32181,0.0857177734375,0.0168115234375,3,26,2,0.4111328125,4,21,0.0
32182,0.0793896484375,0.0679638671875,3,26,2,0.4111328125,4,21,2.5217391304347863
32183,0.0793896484375,0.0168115234375,2,26,2,0.4111328125,4,21,0.0
32184,0.0793896484375,0.0168115234375,3,21,2,0.4111328125,4,21,3.6082289803220178
32185,0.0793896484375,0.0168115234375,3,26,3,0.4111328125,4,21,2.717948717948716
32186,0.0793896484375,0.0168115234375,3,26,2,0.27753906250000004,4,21,2.5217391304347863
32187,0.0793896484375,0.0168115234375,3,26,2,0.4111328125,4,21,0.0
32188,0.0793896484375,0.0168115234375,3,26,2,0.4111328125,4,35,0.0
